domain_accession,n_carriers,n_species_present,n_species_absent,avoidance_score,expected_species_absent,excess_absence,poisson_binomial_p,n_clades_present,n_clades_absent,clade_avoidance_score,absent_clades,present_species,q_value,significant_q05,domain_name,description,clan_accession,clan_id
PF00985,14,1,15,0.9375,12.65,2.35,0.05511639331982759,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,MSA_2,Merozoite Surface Antigen 2 (MSA-2) family,,
PF07422,21,3,13,0.8125,10.87,2.13,0.08761724499839907,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,s48_45,Sexual stage antigen s48/45 domain,,
PF00026,20,3,13,0.8125,10.937,2.063,0.0956387947575812,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,Asp,Eukaryotic aspartyl protease,CL0129,Peptidase_AA
PF13499,19,3,13,0.8125,11.133,1.867,0.13134120282924183,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,EF-hand_7,EF-hand domain pair,CL0220,EF_hand
PF07462,9,2,14,0.875,12.704,1.296,0.2597399761510899,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,MSP1_C,Merozoite surface protein 1 (MSP1) C-terminus,,
PF12946,9,2,14,0.875,12.704,1.296,0.2597399761510899,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,EGF_MSP1_1,MSP1 EGF domain 1,CL0001,EGF
PF00091,6,2,14,0.875,13.369,0.631,0.4729601971162106,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,Tubulin,"Tubulin/FtsZ family, GTPase domain",CL0063,NADP_Rossmann
PF03953,6,2,14,0.875,13.369,0.631,0.4729601971162106,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,Tubulin_C,Tubulin C-terminal domain,CL0442,Tubulin_C
PF05756,5,1,15,0.9375,14.417,0.583,0.4992459023949771,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,S-antigen,S-antigen protein,,
PF00022,10,3,13,0.8125,12.465,0.535,0.5037051818102009,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,Actin,Actin,CL0108,Actin_ATPase
PF00069,38,6,10,0.625,9.55,0.45,0.5301400313022165,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,Pkinase,Protein kinase domain,CL0016,PKinase
PF00082,9,3,13,0.8125,12.615,0.385,0.5543657951433918,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,Peptidase_S8,Subtilase family,,
PF00005,5,2,14,0.875,13.653,0.347,0.5792481208954158,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,ABC_tran,ABC transporter,CL0023,P-loop_NTPase
PF00241,4,1,15,0.9375,14.687,0.313,0.6103366471301589,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,Cofilin_ADF,Cofilin/tropomyosin-type actin-binding protein,CL0092,ADF
PF02852,4,1,15,0.9375,14.687,0.313,0.6103366471301589,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,Pyr_redox_dim,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",CL0608,Reductase_C
PF03805,4,1,15,0.9375,14.687,0.313,0.6103366471301589,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,CLAG,Cytoadherence-linked asexual protein,,
PF07992,4,1,15,0.9375,14.687,0.313,0.6103366471301589,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,CL0063,NADP_Rossmann
PF14308,4,1,15,0.9375,14.687,0.313,0.6103366471301589,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,DnaJ-X,X-domain of DnaJ-containing,,
PF00112,14,4,12,0.75,11.727,0.273,0.5821458112844041,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vinckei; Plasmodium vivax,0.9999590328186712,False,Peptidase_C1,Papain family cysteine protease,CL0125,Peptidase_CA
PF12377,4,2,14,0.875,13.868,0.132,0.6879443636071573,2,5,0.7143,Laverania (ape); Laverania (human); avian; primate (simian); rodent,Plasmodium knowlesi; Plasmodium vivax,0.9999590328186712,False,DuffyBP_N,Duffy binding protein N terminal ,,
PF00578,4,2,14,0.875,13.887,0.113,0.6699184937266585,2,5,0.7143,Laverania (ape); avian; primate (human); primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi,0.9999590328186712,False,AhpC-TSA,AhpC/TSA family,CL0172,Thioredoxin
PF10417,4,2,14,0.875,13.887,0.113,0.6699184937266585,2,5,0.7143,Laverania (ape); avian; primate (human); primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi,0.9999590328186712,False,1-cysPrx_C,C-terminal domain of 1-Cys peroxiredoxin,,
PF00063,4,2,14,0.875,13.896,0.104,0.6736391358152449,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,Myosin_head,Myosin head (motor domain),CL0023,P-loop_NTPase
PF00233,4,2,14,0.875,13.896,0.104,0.6736391358152449,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,PDEase_I,3'5'-cyclic nucleotide phosphodiesterase,CL0237,HD_PDEase
PF00230,4,2,14,0.875,13.9,0.1,0.6925834219625171,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,MIP,Major intrinsic protein,CL0716,Aquaporin-like
PF07885,4,2,14,0.875,13.9,0.1,0.6925834219625171,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,Ion_trans_2,Ion channel,CL0030,Ion_channel
PF14543,4,2,14,0.875,13.906,0.094,0.677436335783082,2,5,0.7143,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,TAXi_N,Xylanase inhibitor N-terminal,CL0129,Peptidase_AA
PF18515,4,2,14,0.875,13.906,0.094,0.677436335783082,2,5,0.7143,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,Rh5,Rh5 coiled-coil domain,,
PF00085,4,2,14,0.875,13.935,0.065,0.686677548005332,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,Thioredoxin,Thioredoxin,CL0172,Thioredoxin
PF00274,4,2,14,0.875,13.935,0.065,0.686677548005332,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,Glycolytic,Fructose-bisphosphate aldolase class-I,CL0036,TIM_barrel
PF00025,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,Arf,ADP-ribosylation factor family,CL0023,P-loop_NTPase
PF00122,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,E1-E2_ATPase,P-type ATPase actuator domain,,
PF00226,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,DnaJ,DnaJ domain,CL0392,Chaperone-J
PF00406,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,ADK,Adenylate kinase,CL0023,P-loop_NTPase
PF00623,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,RNA_pol_Rpb1_2,"RNA polymerase Rpb1, domain 2",,
PF00664,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,ABC_membrane,ABC transporter transmembrane region,CL0241,ABC_membrane
PF00705,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,PCNA_N,"Proliferating cell nuclear antigen, N-terminal domain",CL0060,DNA_clamp
PF01918,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,Alba,Alba,CL0441,AlbA
PF02526,3,1,15,0.9375,14.978,0.022,0.7314617754017116,1,6,0.8571,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum,0.9999590328186712,False,GBP_repeat,Glycophorin-binding protein,,
