domain_a,domain_b,n_AB,n_A,n_B,N,expected_AB,jaccard,lift,pmi_log2,fisher_p,obligate_pair,same_clan,clan_a,clan_b,q_value,significant_q05,headline_eligible,name_a,name_b
PF00675,PF05193,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,True,CL0094,CL0094,5.644742486847749e-06,True,False,Peptidase_M16,Peptidase_M16_C
PF00675,PF08367,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,True,CL0094,CL0094,5.644742486847749e-06,True,False,Peptidase_M16,M16C_assoc
PF00675,PF22516,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,True,CL0094,CL0094,5.644742486847749e-06,True,False,Peptidase_M16,PreP_C
PF05193,PF08367,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,True,CL0094,CL0094,5.644742486847749e-06,True,False,Peptidase_M16_C,M16C_assoc
PF05193,PF22516,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,True,CL0094,CL0094,5.644742486847749e-06,True,False,Peptidase_M16_C,PreP_C
PF08367,PF22516,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,True,CL0094,CL0094,5.644742486847749e-06,True,False,M16C_assoc,PreP_C
PF00689,PF00690,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,,,5.644742486847749e-06,True,False,Cation_ATPase_C,Cation_ATPase_N
PF00689,PF13246,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,,CL0137,5.644742486847749e-06,True,False,Cation_ATPase_C,Cation_ATPase
PF00690,PF13246,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,,CL0137,5.644742486847749e-06,True,False,Cation_ATPase_N,Cation_ATPase
PF01367,PF02739,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0464,CL0280,5.644742486847749e-06,True,False,5_3_exonuc,5_3_exonuc_N
PF00575,PF07541,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0021,,5.644742486847749e-06,True,False,S1,EIF_2_alpha
PF01588,PF21972,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0021,CL0497,5.644742486847749e-06,True,False,tRNA_bind,Arc1p_N_like
PF13242,PF13344,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,True,CL0137,CL0137,5.644742486847749e-06,True,False,Hydrolase_like,Hydrolase_6
PF02670,PF08436,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0063,CL0139,5.644742486847749e-06,True,False,DXP_reductoisom,DXP_redisom_C
PF02670,PF13288,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,True,CL0063,CL0063,5.644742486847749e-06,True,False,DXP_reductoisom,DXPR_C
PF08436,PF13288,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0139,CL0063,5.644742486847749e-06,True,False,DXP_redisom_C,DXPR_C
PF04983,PF05000,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,,,5.644742486847749e-06,True,False,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4
PF00317,PF02867,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,,CL0339,5.644742486847749e-06,True,False,Ribonuc_red_lgN,Ribonuc_red_lgC
PF00317,PF03477,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,,,5.644742486847749e-06,True,False,Ribonuc_red_lgN,ATP-cone
PF02867,PF03477,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0339,,5.644742486847749e-06,True,False,Ribonuc_red_lgC,ATP-cone
PF00006,PF02874,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0023,CL0866,5.644742486847749e-06,True,False,ATP-synt_ab,ATP-synt_ab_N
PF00006,PF22919,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0023,,5.644742486847749e-06,True,False,ATP-synt_ab,ATP-synt_VA_C
PF02874,PF22919,2,2,2,666,0.006,1.0,333.0,8.379,4.515793989478199e-06,True,False,CL0866,,5.644742486847749e-06,True,False,ATP-synt_ab_N,ATP-synt_VA_C
