domain_accession,degree
PF00675,3
PF05193,3
PF08367,3
PF22516,3
PF00689,3
PF00690,3
PF13246,3
PF01367,1
PF02739,1
PF00575,1
PF07541,1
PF01588,1
PF21972,1
PF13242,1
PF13344,1
PF02670,2
PF08436,2
PF13288,2
PF04983,4
PF05000,4
PF00317,2
PF02867,2
PF03477,2
PF00006,2
PF02874,2
PF22919,2
PF06732,1
PF16589,1
PF13517,1
PF23122,1
PF02463,1
PF06470,1
PF03028,8
PF08393,8
PF12774,8
PF12775,8
PF12777,8
PF12780,8
PF17852,8
PF18198,8
PF18199,8
PF01233,1
PF02799,1
PF00211,1
PF16212,1
PF02475,1
PF25133,1
PF00623,4
PF04997,4
PF00705,1
PF02747,1
PF00670,1
PF05221,1
PF00056,1
PF02866,1
PF02798,1
PF14497,1
PF00122,3
PF00226,2
PF09687,2
PF04998,4
PF00578,1
PF10417,1
PF00679,3
PF06421,3
PF04055,1
PF16881,1
PF02852,1
PF07992,1
PF14308,2
PF12361,3
PF12377,3
PF03493,1
PF07885,2
PF22614,1
PF14492,3
PF00032,1
PF00033,1
PF00081,1
PF02777,1
PF00186,1
PF00303,1
PF00005,1
PF00664,1
PF05879,1
PF20428,1
PF05424,3
PF11556,3
PF00113,1
PF03952,1
PF00091,1
PF03953,1
PF00009,4
PF03144,1
PF00752,1
PF00867,1
PF07462,1
PF12946,1
PF00082,2
PF18213,1
PF18513,1
PF00112,1
PF08246,1
PF13202,2
PF13499,2
PF00026,1
PF14543,1
PF00090,1
PF00092,1
PF00027,1
PF00069,3
