domain_accession,degree
PF00107,1
PF08240,1
PF06012,2
PF06025,2
PF00032,1
PF00033,1
PF12361,3
PF12377,3
PF02373,1
PF02928,1
PF04129,1
PF20655,1
PF09329,1
PF22379,1
PF23284,3
PF23291,3
PF24984,1
PF24987,1
PF09468,1
PF17745,1
PF08541,1
PF08545,1
PF16190,4
PF16191,4
PF08152,3
PF26142,3
PF06424,2
PF13428,1
PF01368,1
PF02833,1
PF00408,3
PF21404,3
PF21405,3
PF02810,1
PF10260,1
PF03345,1
PF23358,1
PF00120,1
PF03951,1
PF10403,1
PF26946,1
PF03657,1
PF17833,1
PF19036,1
PF19037,1
PF07780,2
PF11861,2
PF00044,1
PF02800,1
PF18098,2
PF22241,2
PF09358,4
PF17865,2
PF17867,2
PF08170,2
PF22770,2
PF01902,1
PF28410,1
PF06148,1
PF12022,1
PF10447,1
PF14382,1
PF12451,1
PF23356,1
PF17903,1
PF21800,1
PF27570,5
PF27571,5
PF27587,5
PF27588,5
PF14630,1
PF21639,1
PF08235,2
PF16876,2
PF01266,1
PF16901,1
PF08920,1
PF22646,1
PF04990,7
PF04992,7
PF08082,6
PF08083,6
PF08084,6
PF10596,6
PF10597,6
PF10598,6
PF12134,6
PF01658,1
PF07994,1
PF05021,2
PF11543,2
PF18808,4
PF18829,4
PF25780,4
PF03439,3
PF23042,3
PF06858,2
PF08155,2
PF08740,2
PF25426,2
PF00456,2
PF22613,2
PF12513,2
PF22527,2
PF04084,1
PF24882,1
PF00109,1
PF02801,1
PF22912,3
PF23250,3
PF24631,7
PF24632,7
PF24639,7
PF24640,7
PF13242,1
PF13344,1
PF01749,2
PF16186,2
PF00438,2
PF02772,2
PF02773,2
PF11931,1
PF12108,1
PF04263,1
PF04265,1
PF00327,1
PF08079,1
PF05681,1
PF05683,1
PF09416,3
PF18141,3
PF22941,2
PF25299,2
PF04551,1
PF26540,1
PF00186,1
PF00303,1
PF01380,1
PF13522,1
PF08772,1
PF17146,1
PF05127,3
PF08351,3
PF13718,3
PF13725,3
PF00534,1
PF08288,1
PF00890,1
PF02910,1
PF01028,2
PF02919,2
PF14370,2
PF08644,5
PF14826,5
PF24824,5
PF00670,1
PF05221,1
PF00349,1
PF03727,1
PF02359,3
PF02933,3
PF04073,3
PF09180,3
PF04926,2
PF04928,2
PF20750,2
PF17767,1
PF17956,1
PF01287,1
PF21485,1
PF04446,1
PF14413,1
PF23147,3
PF23152,3
PF04840,1
PF04841,1
PF01068,2
PF04675,2
PF04679,2
PF00551,1
PF02911,1
PF11940,3
PF17432,3
PF17900,3
PF08375,2
PF25573,2
PF00330,1
PF00694,1
PF00344,1
PF10559,1
PF16399,3
PF21143,3
PF05185,2
PF17285,2
PF17286,2
PF08367,3
PF22516,3
PF00370,1
PF02782,1
PF01466,1
PF03931,1
PF00530,3
PF01477,3
PF08324,2
PF09070,2
PF01536,2
PF02784,2
PF08068,3
PF16198,3
PF00310,5
PF01493,5
PF01645,5
PF04898,5
PF14691,5
PF00900,3
PF16121,3
PF14204,1
PF17144,1
PF01853,2
PF11717,2
PF17772,2
PF06741,1
PF14438,1
PF00317,2
PF02867,2
PF03477,2
PF13380,3
PF13549,3
PF13607,3
PF19045,3
PF03531,3
PF21103,3
PF04037,1
PF04046,1
PF01321,3
PF16188,3
PF16189,3
PF25172,1
PF25173,1
PF00565,1
PF00567,1
PF01262,3
PF02233,3
PF05222,3
PF12769,3
PF05764,1
PF08265,1
PF08159,1
PF25121,1
PF04212,3
PF09336,3
PF01300,1
PF03481,1
PF13085,1
PF13534,1
PF00289,4
PF02785,4
PF00185,1
PF02729,1
PF03367,1
PF22794,1
PF01331,1
PF03919,1
PF02670,2
PF08436,2
PF13288,2
PF27589,5
PF27586,5
PF08767,4
PF18787,4
PF18784,4
PF02775,3
PF02776,3
PF12246,1
PF12247,1
PF01280,1
PF25476,1
PF04676,1
PF04677,1
PF01545,1
PF16916,1
PF00586,1
PF02769,1
PF04104,1
PF26466,1
PF00278,2
PF01233,1
PF02799,1
PF17292,3
PF08752,2
PF16381,2
PF01134,1
PF13932,1
PF12340,1
PF12359,1
PF00393,1
PF03446,1
PF00281,1
PF00673,1
PF11835,2
PF13893,2
PF08071,3
PF00809,1
PF01288,1
PF10263,1
PF22934,1
PF00763,1
PF02882,1
PF10396,2
PF12631,2
PF13517,1
PF23122,1
PF05088,3
PF12002,1
PF14532,1
PF05020,2
PF04652,1
PF18097,1
PF06732,1
PF16589,1
PF01485,2
PF22191,1
PF00919,2
PF01938,2
PF17404,1
PF17406,1
PF02516,1
PF21436,1
PF08514,1
PF21581,1
PF01137,1
PF05189,1
PF04106,1
PF20638,1
PF01276,1
PF03711,1
PF17814,2
PF23410,1
PF05001,7
PF14633,1
PF14635,2
PF00569,1
PF12936,1
PF22605,1
PF00205,3
PF03962,1
PF18517,1
PF02637,1
PF02934,1
PF11919,1
PF16507,1
PF06278,1
PF16858,1
PF21038,1
PF21039,1
PF05131,1
PF26148,1
PF02714,1
PF14703,1
PF06978,2
PF01648,1
PF02130,1
PF01367,1
PF02739,1
PF00733,1
PF13537,1
PF03199,1
PF03917,1
PF02787,5
PF25596,5
PF22365,2
PF22366,2
PF00113,1
PF03952,1
PF01379,1
PF03900,1
PF10357,3
PF25095,3
PF15901,1
PF15902,1
PF00479,2
PF01182,2
PF02781,2
PF18004,3
PF21505,3
PF00206,1
PF08328,1
PF04571,2
PF13193,2
PF16177,2
PF25304,4
PF26292,4
PF20724,1
PF20725,1
PF03483,3
PF03484,3
PF18262,3
PF01564,1
PF17284,1
PF00988,5
PF02138,1
PF25400,1
PF01039,4
PF03224,1
PF11698,1
PF06862,1
PF22916,1
PF02142,5
PF04056,1
PF07975,1
PF09793,1
PF21166,1
PF00637,1
PF01394,1
PF16078,3
PF16870,3
PF26291,4
PF04192,1
PF25168,1
PF00648,1
PF01067,1
PF02190,3
PF22667,3
PF18131,2
PF18149,5
PF21188,5
PF00580,1
PF13361,1
PF22634,3
PF09734,1
PF17682,1
PF05282,1
PF20981,1
PF01172,1
PF09377,1
PF00328,1
PF18086,1
PF24635,7
PF01132,1
PF08207,1
PF03343,1
PF19252,1
PF21091,5
PF14632,1
PF13625,2
PF16203,2
PF03807,1
PF14748,1
PF00108,1
PF02803,1
PF02879,2
PF02880,2
PF08953,2
PF16300,2
PF10602,2
PF21154,2
PF08164,1
PF13339,1
PF03054,1
PF20258,1
PF17781,2
PF18051,2
PF17759,3
PF07718,2
PF14806,2
PF11362,1
PF16740,1
PF11916,1
PF12755,1
PF23025,1
PF23128,1
PF05362,3
PF09732,1
PF10312,1
PF02207,1
PF18995,1
PF13374,2
PF13424,2
PF00387,2
PF00388,2
PF01381,1
PF08523,1
PF00483,1
PF25087,1
PF03378,1
PF08506,1
PF01170,1
PF25904,1
PF00620,1
PF13716,1
