proteome_id	organism_full	organism_id	protein_count	busco	cpd	genome_assembly
UP000074855	Plasmodium berghei (strain Anka)	5823	4927	C:99.1%[S:99.0%,D:0.1%],F:0.0%,M:0.9%,n:3642	Unknown	GCA_900002375.2
UP001056978	Plasmodium brasilianum	5824	5416	C:88.2%[S:88.2%,D:0.1%],F:1.7%,M:10.0%,n:3642	Unknown	GCA_023973825.1
UP000071118	Plasmodium chabaudi chabaudi	31271	5197	C:99.2%[S:99.1%,D:0.1%],F:0.0%,M:0.8%,n:3642	Unknown	GCA_900002335.2
UP000092716	Plasmodium coatneyi	208452	5514	C:97.1%[S:96.9%,D:0.3%],F:0.6%,M:2.2%,n:3642	Unknown	GCA_001680005.1
UP000006319	Plasmodium cynomolgi (strain B)	1120755	5713	C:79.1%[S:79.1%,D:0.0%],F:11.8%,M:9.1%,n:3642	Unknown	GCA_000321355.1
UP000001450	Plasmodium falciparum (isolate 3D7)	36329	5361	C:99.1%[S:98.0%,D:1.1%],F:0.0%,M:0.9%,n:3642	Standard	GCA_000002765.3
UP000030673	Plasmodium falciparum (isolate NF54)	5843	5920	C:80.0%[S:79.2%,D:0.9%],F:5.6%,M:14.4%,n:3642	Unknown	GCA_000401695.2
UP000054561	Plasmodium fragile	5857	5638	C:96.7%[S:95.9%,D:0.8%],F:1.3%,M:2.0%,n:3642	Unknown	GCA_000956335.1
UP000831156	Plasmodium gaboni	647221	5123	C:98.8%[S:98.5%,D:0.3%],F:0.1%,M:1.0%,n:3642	Standard	GCA_900097045.1
UP000220797	Plasmodium gallinaceum	5849	5276	C:98.5%[S:98.4%,D:0.1%],F:0.3%,M:1.2%,n:3642	Unknown	GCA_900005855.1
UP000195521	Plasmodium gonderi	77519	5915	C:99.1%[S:99.1%,D:0.0%],F:0.0%,M:0.8%,n:3642	Unknown	GCA_002157705.1
UP000030640	Plasmodium inui San Antonio 1	1237626	5828	C:96.2%[S:96.2%,D:0.0%],F:2.1%,M:1.7%,n:3642	Unknown	GCA_000524495.1
UP000031513	Plasmodium knowlesi (strain H)	5851	5339	C:99.1%[S:98.9%,D:0.2%],F:0.1%,M:0.8%,n:3642	Unknown	GCA_000006355.3
UP000219813	Plasmodium malariae	5858	5915	C:99.0%[S:98.9%,D:0.1%],F:0.0%,M:1.0%,n:3642	Unknown	GCA_900090045.1
UP000242942	Plasmodium ovale (malaria parasite P. ovale)	36330	6625	C:98.5%[S:98.5%,D:0.0%],F:0.3%,M:1.2%,n:3642	Unknown	GCA_900090035.2
UP000078555	Plasmodium ovale wallikeri	864142	8410	C:80.3%[S:80.3%,D:0.0%],F:5.9%,M:13.8%,n:3642	Unknown	GCA_900088485.1
UP000027581	Plasmodium reichenowi	5854	5630	C:99.1%[S:99.0%,D:0.1%],F:0.0%,M:0.9%,n:3642	Unknown	GCA_000723685.1
UP000220158	Plasmodium relictum	85471	5136	C:98.8%[S:98.7%,D:0.1%],F:0.1%,M:1.1%,n:3642	Unknown	GCA_900005765.1
UP000515268	Plasmodium vinckei petteri	138298	5276	C:97.8%[S:97.8%,D:0.1%],F:0.6%,M:1.5%,n:3642	Unknown	GCA_903994235.1
UP000008333	Plasmodium vivax (strain Salvador I)	126793	5389	C:95.0%[S:94.6%,D:0.4%],F:1.3%,M:3.7%,n:3642	Unknown	GCA_000002415.2
UP000018538	Plasmodium yoelii 17X	1323249	6833	C:96.0%[S:82.9%,D:13.1%],F:1.5%,M:2.6%,n:3642	Unknown	GCA_000505035.1
UP000008553	Plasmodium yoelii yoelii	73239	7740	C:64.7%[S:64.6%,D:0.1%],F:10.5%,M:24.7%,n:3642	Unknown	GCA_000003085.2
