domain_accession,n_species,species_fraction,category,domain_name,description,clan_accession,clan_id
PF00090,10,0.625,shell,TSP_1,Thrombospondin type 1 domain,CL0692,TSP1
PF00962,6,0.375,shell,A_deaminase,Adenosine deaminase,CL0036,TIM_barrel
PF00069,6,0.375,shell,Pkinase,Protein kinase domain,CL0016,PKinase
PF00709,6,0.375,shell,Adenylsucc_synt,Adenylosuccinate synthetase,CL0023,P-loop_NTPase
PF00867,6,0.375,shell,XPG_I,XPG I-region,CL0464,5_3_exonuc_C
PF00318,6,0.375,shell,Ribosomal_S2,Ribosomal protein S2,CL0067,SIS
PF02374,6,0.375,shell,ArsA_ATPase,Anion-transporting ATPase,CL0023,P-loop_NTPase
PF08627,6,0.375,shell,CRT-like,"CRT-like, chloroquine-resistance transporter-like",CL0184,DMT
PF06220,6,0.375,shell,zf-U1,U1 zinc finger,CL0361,C2H2-zf
PF00752,6,0.375,shell,XPG_N,XPG N-terminal domain,CL0280,PIN
PF00032,5,0.3125,shell,Cytochrom_B_C,Cytochrome b(C-terminal)/b6/petD,,
PF05093,5,0.3125,shell,CIAPIN1,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis",,
PF00186,5,0.3125,shell,DHFR_1,Dihydrofolate reductase,CL0387,DHFred
PF00838,5,0.3125,shell,TCTP,Translationally controlled tumour protein,CL0080,Beta-tent
PF00033,5,0.3125,shell,Cytochrome_B,Cytochrome b/b6/petB,CL0328,2heme_cytochrom
PF05879,5,0.3125,shell,RHD3_GTPase,Root hair defective 3 GTP-binding protein (RHD3) GTPase domain,CL0023,P-loop_NTPase
PF05019,5,0.3125,shell,Coq4,Coenzyme Q (ubiquinone) biosynthesis protein Coq4,,
PF01226,5,0.3125,shell,Form_Nir_trans,Formate/nitrite transporter,CL0716,Aquaporin-like
PF00112,4,0.25,shell,Peptidase_C1,Papain family cysteine protease,CL0125,Peptidase_CA
PF02430,4,0.25,shell,AMA-1,Apical membrane antigen 1,CL0168,PAN
PF00303,4,0.25,shell,Thymidylat_synt,Thymidylate synthase,,
PF11556,4,0.25,shell,EBA-175_VI,Erythrocyte binding antigen 175,,
PF06421,4,0.25,shell,LepA_C,GTP-binding protein LepA C-terminus,,
PF06247,4,0.25,shell,Plasmod_Pvs28,Pvs28 EGF domain,CL0001,EGF
PF01139,4,0.25,shell,RtcB,tRNA-splicing ligase RtcB,,
PF08246,4,0.25,shell,Inhibitor_I29,Cathepsin propeptide inhibitor domain (I29),,
PF16881,4,0.25,shell,LIAS_N,N-terminal domain of lipoyl synthase of Radical_SAM family,,
PF05424,4,0.25,shell,Duffy_binding,Duffy binding domain,CL0195,DBL
PF00679,4,0.25,shell,EFG_C,Elongation factor G C-terminus,CL0437,EF-G_C
PF04055,4,0.25,shell,Radical_SAM,Radical SAM superfamily,CL0036,TIM_barrel
PF00009,4,0.25,shell,GTP_EFTU,Elongation factor Tu GTP binding domain,CL0023,P-loop_NTPase
PF01015,4,0.25,shell,Ribosomal_S3Ae,Ribosomal S3Ae family,,
PF00083,4,0.25,shell,Sugar_tr,Sugar (and other) transporter,CL0015,MFS
PF00022,3,0.1875,shell,Actin,Actin,CL0108,Actin_ATPase
PF02657,3,0.1875,shell,SufE,Fe-S metabolism associated domain,CL0233,SufE_NifU
PF14497,3,0.1875,shell,GST_C_3,"Glutathione S-transferase, C-terminal domain",CL0497,GST_C
PF02475,3,0.1875,shell,TRM5-TYW2_MTfase,TRM5/TYW2 methyltransferase domain,CL0063,NADP_Rossmann
PF10250,3,0.1875,shell,O-FucT,GDP-fucose protein O-fucosyltransferase,CL0113,GT-B
PF00889,3,0.1875,shell,EF_TS,Elongation factor TS,,
PF00012,3,0.1875,shell,HSP70,Hsp70 protein,CL0108,Actin_ATPase
PF18213,3,0.1875,shell,SUB1_ProdP9,SUB1 protease Prodomain ProdP9,CL0570,PPP-I
PF13202,3,0.1875,shell,EF-hand_5,EF hand,CL0220,EF_hand
PF13656,3,0.1875,shell,RNA_pol_L_2,RNA polymerase Rpb3/Rpb11 dimerisation domain,CL0509,RBP11-like
PF01521,3,0.1875,shell,Fe-S_biosyn,Iron-sulphur cluster biosynthesis,CL0980,HesB-like
PF00670,3,0.1875,shell,AdoHcyase_NAD,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",CL0063,NADP_Rossmann
PF02777,3,0.1875,shell,Sod_Fe_C,"Iron/manganese superoxide dismutases, C-terminal domain",,
PF13499,3,0.1875,shell,EF-hand_7,EF-hand domain pair,CL0220,EF_hand
PF00266,3,0.1875,shell,Aminotran_5,Aminotransferase class-V,CL0061,PLP_aminotran
PF02798,3,0.1875,shell,GST_N,"Glutathione S-transferase, N-terminal domain",CL0172,Thioredoxin
PF00026,3,0.1875,shell,Asp,Eukaryotic aspartyl protease,CL0129,Peptidase_AA
PF25133,3,0.1875,shell,TYW2_N_2,TYW2 N-terminal domain,,
PF00115,3,0.1875,shell,COX1,Cytochrome C and Quinol oxidase polypeptide I,CL0714,COX1-like
PF00113,3,0.1875,shell,Enolase_C,"Enolase, C-terminal TIM barrel domain",CL0036,TIM_barrel
PF05221,3,0.1875,shell,AdoHcyase,S-adenosyl-L-homocysteine hydrolase,CL0063,NADP_Rossmann
PF03853,3,0.1875,shell,YjeF_N,YjeF-related protein N-terminus,CL0063,NADP_Rossmann
PF00092,3,0.1875,shell,VWA,von Willebrand factor type A domain,CL0128,vWA-like
PF03952,3,0.1875,shell,Enolase_N,"Enolase, N-terminal domain",CL0227,Enolase_N
PF07422,3,0.1875,shell,s48_45,Sexual stage antigen s48/45 domain,,
PF00027,3,0.1875,shell,cNMP_binding,Cyclic nucleotide-binding domain,CL0029,Cupin
PF00082,3,0.1875,shell,Peptidase_S8,Subtilase family,,
PF05301,3,0.1875,shell,Acetyltransf_16,"GNAT acetyltransferase, Mec-17",CL0257,Acetyltrans
PF00202,3,0.1875,shell,Aminotran_3,Aminotransferase class-III,CL0061,PLP_aminotran
PF00081,3,0.1875,shell,Sod_Fe_N,"Iron/manganese superoxide dismutases, alpha-hairpin domain",,
PF03953,2,0.125,cloud,Tubulin_C,Tubulin C-terminal domain,CL0442,Tubulin_C
PF01367,2,0.125,cloud,5_3_exonuc,"5'-3' exonuclease, C-terminal SAM fold",CL0464,5_3_exonuc_C
PF01264,2,0.125,cloud,Chorismate_synt,Chorismate synthase,,
PF01261,2,0.125,cloud,AP_endonuc_2,Xylose isomerase-like TIM barrel,CL0036,TIM_barrel
PF01174,2,0.125,cloud,SNO,SNO glutamine amidotransferase family,CL0014,Glutaminase_I
PF01106,2,0.125,cloud,NifU,NifU-like domain,CL0232,NifU
PF00883,2,0.125,cloud,Peptidase_M17,"Cytosol aminopeptidase family, catalytic domain",CL0865,ZnExoPePases
PF13517,2,0.125,cloud,FG-GAP_3,FG-GAP-like repeat,CL0186,Beta_propeller
PF01048,2,0.125,cloud,PNP_UDP_1,Phosphorylase superfamily,CL0408,PUP
PF14492,2,0.125,cloud,EFG_III,"Elongation Factor G, domain III",CL0437,EF-G_C
PF01458,2,0.125,cloud,SUFBD_core,"SUF system FeS cluster assembly, SufBD core domain",,
PF13344,2,0.125,cloud,Hydrolase_6,Haloacid dehalogenase-like hydrolase,CL0137,HAD
PF01490,2,0.125,cloud,Aa_trans,Transmembrane amino acid transporter protein,CL0062,APC
PF13242,2,0.125,cloud,Hydrolase_like,HAD-hyrolase-like,CL0137,HAD
PF06732,2,0.125,cloud,Pescadillo_N,Pescadillo N-terminus,,
PF14543,2,0.125,cloud,TAXi_N,Xylanase inhibitor N-terminal,CL0129,Peptidase_AA
PF07885,2,0.125,cloud,Ion_trans_2,Ion channel,CL0030,Ion_channel
PF02535,2,0.125,cloud,Zip,ZIP Zinc transporter,CL0184,DMT
PF00005,2,0.125,cloud,ABC_tran,ABC transporter,CL0023,P-loop_NTPase
PF02991,2,0.125,cloud,ATG8,Autophagy protein Atg8 ubiquitin like,CL0072,Ubiquitin
PF07714,2,0.125,cloud,PK_Tyr_Ser-Thr,Protein tyrosine and serine/threonine kinase,CL0016,PKinase
PF10417,2,0.125,cloud,1-cysPrx_C,C-terminal domain of 1-Cys peroxiredoxin,,
PF03092,2,0.125,cloud,BT1,BT1 family,CL0015,MFS
PF07541,2,0.125,cloud,EIF_2_alpha,Eukaryotic translation initiation factor 2 alpha subunit,,
