domain_accession,n_proteins,n_instances,n_species,n_clades,n_reviewed_carriers,species_list,n_unreviewed_carriers,reviewed_fraction,pct_of_proteome,instances_per_carrier,domain_name,description,clan_accession,clan_id
PF00069,38,38,6,4,38,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,4.916,1.0,Pkinase,Protein kinase domain,CL0016,PKinase
PF00090,24,24,10,6,24,Plasmodium berghei; Plasmodium brasilianum; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium malariae; Plasmodium reichenowi; Plasmodium simium; Plasmodium vivax; Plasmodium yoelii,0,1.0,3.105,1.0,TSP_1,Thrombospondin type 1 domain,CL0692,TSP1
PF07422,21,21,3,2,21,Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0,1.0,2.717,1.0,s48_45,Sexual stage antigen s48/45 domain,,
PF00026,20,20,3,3,20,Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0,1.0,2.587,1.0,Asp,Eukaryotic aspartyl protease,CL0129,Peptidase_AA
PF13499,19,19,3,2,19,Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0,1.0,2.458,1.0,EF-hand_7,EF-hand domain pair,CL0220,EF_hand
PF00985,14,14,1,1,14,Plasmodium falciparum,0,1.0,1.811,1.0,MSA_2,Merozoite Surface Antigen 2 (MSA-2) family,,
PF00112,14,14,4,3,14,Plasmodium berghei; Plasmodium falciparum; Plasmodium vinckei; Plasmodium vivax,0,1.0,1.811,1.0,Peptidase_C1,Papain family cysteine protease,CL0125,Peptidase_CA
PF00022,10,10,3,2,10,Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0,1.0,1.294,1.0,Actin,Actin,CL0108,Actin_ATPase
PF12946,9,9,2,2,9,Plasmodium falciparum; Plasmodium yoelii,0,1.0,1.164,1.0,EGF_MSP1_1,MSP1 EGF domain 1,CL0001,EGF
PF07462,9,9,2,2,9,Plasmodium falciparum; Plasmodium yoelii,0,1.0,1.164,1.0,MSP1_C,Merozoite surface protein 1 (MSP1) C-terminus,,
PF00082,9,9,3,3,9,Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0,1.0,1.164,1.0,Peptidase_S8,Subtilase family,,
PF08627,8,8,6,4,8,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,1.035,1.0,CRT-like,"CRT-like, chloroquine-resistance transporter-like",CL0184,DMT
PF02430,8,8,4,4,8,Plasmodium chabaudi; Plasmodium falciparum; Plasmodium fragile; Plasmodium knowlesi,0,1.0,1.035,1.0,AMA-1,Apical membrane antigen 1,CL0168,PAN
PF08246,7,7,4,3,7,Plasmodium berghei; Plasmodium falciparum; Plasmodium vinckei; Plasmodium vivax,0,1.0,0.906,1.0,Inhibitor_I29,Cathepsin propeptide inhibitor domain (I29),,
PF00709,7,7,6,4,7,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.906,1.0,Adenylsucc_synt,Adenylosuccinate synthetase,CL0023,P-loop_NTPase
PF00752,7,7,6,4,7,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.906,1.0,XPG_N,XPG N-terminal domain,CL0280,PIN
PF00867,7,7,6,4,7,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.906,1.0,XPG_I,XPG I-region,CL0464,5_3_exonuc_C
PF00091,6,6,2,2,6,Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.776,1.0,Tubulin,"Tubulin/FtsZ family, GTPase domain",CL0063,NADP_Rossmann
PF00012,6,6,3,3,6,Plasmodium berghei; Plasmodium cynomolgi; Plasmodium falciparum,0,1.0,0.776,1.0,HSP70,Hsp70 protein,CL0108,Actin_ATPase
PF00113,6,6,3,2,6,Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.776,1.0,Enolase_C,"Enolase, C-terminal TIM barrel domain",CL0036,TIM_barrel
PF00009,6,6,4,4,6,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.776,1.0,GTP_EFTU,Elongation factor Tu GTP binding domain,CL0023,P-loop_NTPase
PF02374,6,6,6,4,6,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.776,1.0,ArsA_ATPase,Anion-transporting ATPase,CL0023,P-loop_NTPase
PF00318,6,6,6,4,6,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.776,1.0,Ribosomal_S2,Ribosomal protein S2,CL0067,SIS
PF03952,6,6,3,2,6,Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.776,1.0,Enolase_N,"Enolase, N-terminal domain",CL0227,Enolase_N
PF03953,6,6,2,2,6,Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.776,1.0,Tubulin_C,Tubulin C-terminal domain,CL0442,Tubulin_C
PF06220,6,6,6,4,6,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.776,1.0,zf-U1,U1 zinc finger,CL0361,C2H2-zf
PF05424,6,6,4,3,6,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium ovale; Plasmodium vivax,0,1.0,0.776,1.0,Duffy_binding,Duffy binding domain,CL0195,DBL
PF11556,6,6,4,3,6,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium ovale; Plasmodium vivax,0,1.0,0.776,1.0,EBA-175_VI,Erythrocyte binding antigen 175,,
PF00962,6,6,6,6,6,Plasmodium berghei; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.776,1.0,A_deaminase,Adenosine deaminase,CL0036,TIM_barrel
PF18213,5,5,3,3,5,Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0,1.0,0.647,1.0,SUB1_ProdP9,SUB1 protease Prodomain ProdP9,CL0570,PPP-I
PF05093,5,5,5,4,5,Plasmodium berghei; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.647,1.0,CIAPIN1,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis",,
PF05756,5,5,1,1,5,Plasmodium falciparum,0,1.0,0.647,1.0,S-antigen,S-antigen protein,,
PF05019,5,5,5,4,5,Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.647,1.0,Coq4,Coenzyme Q (ubiquinone) biosynthesis protein Coq4,,
PF00186,5,5,5,3,5,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium vinckei; Plasmodium vivax,0,1.0,0.647,1.0,DHFR_1,Dihydrofolate reductase,CL0387,DHFred
PF01226,5,5,5,3,5,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium vivax,0,1.0,0.647,1.0,Form_Nir_trans,Formate/nitrite transporter,CL0716,Aquaporin-like
PF00005,5,5,2,2,5,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.647,1.0,ABC_tran,ABC transporter,CL0023,P-loop_NTPase
PF05879,5,5,5,4,5,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.647,1.0,RHD3_GTPase,Root hair defective 3 GTP-binding protein (RHD3) GTPase domain,CL0023,P-loop_NTPase
