domain_accession,domain_name,Plasmodium berghei,Plasmodium brasilianum,Plasmodium chabaudi,Plasmodium coatneyi,Plasmodium cynomolgi,Plasmodium falciparum,Plasmodium fragile,Plasmodium gaboni,Plasmodium gallinaceum,Plasmodium gonderi,Plasmodium inui,Plasmodium knowlesi,Plasmodium malariae,Plasmodium ovale,Plasmodium ovale wallikeri,Plasmodium reichenowi,Plasmodium relictum,Plasmodium vinckei petteri,Plasmodium vivax,Plasmodium yoelii
PF05795,Plasmodium_Vir,1,70,1,303,329,0,3,0,0,323,3,59,118,1060,1325,0,0,1,240,2
PF06022,Cir_Bir_Yir,122,0,195,0,0,0,0,0,0,1,0,0,0,3,5,0,0,236,0,1662
PF00069,Pkinase,66,62,68,67,63,161,68,81,66,68,67,69,67,68,68,80,65,67,69,152
PF00271,Helicase_C,59,58,60,62,57,122,62,62,63,63,63,61,62,61,60,61,63,61,63,124
PF00076,RRM_1,61,57,57,63,58,115,63,58,63,62,61,65,61,63,58,59,65,58,60,129
PF12420,DUF3671,1,421,2,11,18,2,7,1,14,61,3,5,668,24,24,1,8,0,33,3
PF00400,WD40,49,51,49,54,48,104,55,52,55,53,50,54,52,52,47,50,53,47,53,105
PF00270,DEAD,49,46,49,51,46,102,51,52,50,51,51,51,50,50,49,51,51,48,51,101
PF09687,PRESAN,2,27,2,42,56,139,55,70,7,33,73,45,29,51,55,68,6,2,76,2
PF00004,AAA,33,33,34,36,32,68,34,37,33,34,34,35,33,33,33,34,34,34,34,70
PF02009,RIFIN,0,0,0,0,0,320,0,8,0,0,0,0,0,0,0,407,0,0,0,0
PF12879,SICA_C,0,5,0,227,5,10,171,3,1,0,0,143,4,12,60,4,12,0,5,0
PF00226,DnaJ,27,25,26,26,25,81,28,39,25,28,26,27,27,27,25,41,23,27,28,60
PF00009,GTP_EFTU,21,20,21,22,17,37,23,17,21,20,21,23,19,19,22,20,21,21,20,44
PF01926,MMR_HSR1,20,20,20,20,16,41,20,20,20,21,19,20,20,20,20,21,22,20,22,40
PF12887,SICA_alpha,0,0,0,110,1,0,202,0,0,0,0,129,0,0,0,0,0,0,0,0
PF13499,EF-hand_7,18,17,17,18,17,39,19,21,20,19,16,18,18,17,14,22,20,17,18,34
PF00847,AP2,18,15,18,18,17,36,18,19,19,18,19,18,17,19,18,19,19,18,19,31
PF12319,TryThrA_C,7,30,6,17,31,7,30,4,2,31,23,29,27,38,42,4,1,6,36,11
PF00005,ABC_tran,15,16,15,14,13,33,15,16,16,16,15,15,16,16,16,16,16,15,16,30
PF17862,AAA_lid_3,15,15,15,15,15,30,15,17,15,15,15,15,15,15,15,15,15,15,15,31
PF00227,Proteasome,15,15,15,15,15,33,15,15,15,15,15,15,15,15,15,15,15,15,15,30
PF00085,Thioredoxin,14,14,15,16,13,30,16,17,17,15,16,15,15,14,13,16,16,15,16,26
PF08373,RAP,14,14,14,16,12,28,16,16,16,16,16,16,16,15,14,16,14,14,15,29
PF00149,Metallophos,13,13,13,17,16,28,16,14,14,15,16,16,13,16,16,14,16,14,16,28
