domain_a,domain_b,n_AB,n_A,n_B,N,expected_AB,jaccard,lift,pmi_log2,fisher_p,obligate_pair,same_clan,clan_a,clan_b,q_value,significant_q05,headline_eligible,name_a,name_b
PF00107,PF08240,9,9,9,76215,0.001,1.0,8468.333,13.048,4.184119627905647e-39,True,False,CL0063,CL0296,5.274568789882723e-39,True,False,ADH_zinc_N,ADH_N
PF06012,PF06025,8,12,8,76215,0.001,0.6667,6351.25,12.633,1.7537256246609302e-32,False,False,,,2.080831187881386e-32,True,True,DUF908,DUF913
PF00032,PF00033,12,12,13,76215,0.002,0.9231,5862.692,12.517,1.6224487017549961e-49,False,False,,CL0328,2.257708947111272e-49,True,True,Cytochrom_B_C,Cytochrome_B
PF12361,PF12377,9,12,12,76215,0.002,0.6,4763.437,12.218,2.0248986539779267e-34,False,False,,,2.4525572496980646e-34,True,True,DBP,DuffyBP_N
PF02373,PF02928,6,17,6,76215,0.001,0.3529,4483.235,12.13,4.547320340582222e-23,False,False,CL0029,,5.058517998267072e-23,True,True,JmjC,zf-C5HC2
PF04129,PF20655,18,18,18,76215,0.004,1.0,4234.167,12.048,8.520885953433763e-73,True,True,CL0020,CL0020,1.8195516690407218e-72,True,False,Vps52_CC,Vps52_C
PF09329,PF22379,14,15,17,76215,0.003,0.7778,4184.353,12.031,3.9897417381831266e-54,False,False,,CL0021,5.910439326427841e-54,True,True,zf-primase,OB_MCM10
PF23284,PF23291,10,11,17,76215,0.002,0.5556,4075.668,11.993,1.1744817951150136e-37,False,True,CL0010,CL0010,1.457512653937812e-37,True,False,KOW2_Spt5,KOW4_SPT5
PF24984,PF24987,8,10,15,76215,0.002,0.4706,4064.8,11.989,1.025761964212454e-29,False,True,CL0020,CL0020,1.1973813522109911e-29,True,False,HEAT_EF3_GNC1,HEAT_EF3_N
PF09468,PF17745,5,14,7,76215,0.001,0.3125,3888.52,11.925,1.9617056532566562e-18,False,False,CL0123,CL0662,2.091565041570829e-18,True,True,RNase_H2-Ydr279,Ydr279_N
PF08541,PF08545,20,20,20,76215,0.005,1.0,3810.75,11.896,5.576969935431732e-80,True,True,CL0046,CL0046,1.4335369239802448e-79,True,False,ACP_syn_III_C,ACP_syn_III
PF16190,PF16191,20,20,20,76215,0.005,1.0,3810.75,11.896,5.576969935431732e-80,True,False,CL0866,,1.4335369239802448e-79,True,False,E1_FCCH,E1_4HB
PF08152,PF26142,19,19,20,76215,0.005,0.95,3810.75,11.896,4.249428012001562e-75,False,False,CL0221,,9.882694332058933e-75,True,True,GUCT,DD_DDX21-DDX50
PF06424,PF13428,8,20,8,76215,0.002,0.4,3810.75,11.896,4.462965998758331e-30,False,False,,CL0020,5.225777665986167e-30,True,True,PRP1_N,TPR_14
PF01368,PF02833,5,20,5,76215,0.001,0.25,3810.75,11.896,7.235686131823792e-19,False,False,CL0137,,7.76387583528081e-19,True,True,DHH,DHHA2
PF00408,PF21404,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,CL0407,CL0754,4.3578847719744434e-83,True,False,PGM_PMM_IV,AMG1_III
PF00408,PF21405,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,CL0407,CL0754,4.3578847719744434e-83,True,False,PGM_PMM_IV,AMG1_II
PF21404,PF21405,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,True,CL0754,CL0754,4.3578847719744434e-83,True,False,AMG1_III,AMG1_II
PF02810,PF10260,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,CL0821,,4.3578847719744434e-83,True,False,SEC-C,SAYSvFN
PF03345,PF23358,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,CL0014,CL0159,4.3578847719744434e-83,True,False,OST48_N,OST48_MD
PF00120,PF03951,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,CL0286,CL1002,4.3578847719744434e-83,True,False,Gln-synt_C,Gln-synt_N
PF10403,PF26946,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,CL0700,CL0070,4.3578847719744434e-83,True,False,BHD_1,ACT_11
PF03657,PF17833,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,CL0178,CL0668,4.3578847719744434e-83,True,False,UPF0113,pre-PUA_NIP7
PF19036,PF19037,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,True,CL0431,CL0431,4.3578847719744434e-83,True,False,Fuz_longin_1,Fuz_longin_2
PF07780,PF11861,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,,,4.3578847719744434e-83,True,False,Spb1_C,DUF3381
PF00044,PF02800,21,21,21,76215,0.006,1.0,3629.286,11.825,1.5370610754520163e-83,True,False,CL0063,CL0139,4.3578847719744434e-83,True,False,Gp_dh_N,Gp_dh_C
PF18098,PF22241,20,20,21,76215,0.006,0.9524,3629.286,11.825,1.171163686440664e-78,False,False,,CL0020,2.9356652670052405e-78,True,True,RPN5_C,PSMD12-CSN4_N
PF09358,PF16190,20,21,20,76215,0.006,0.9524,3629.286,11.825,1.171163686440664e-78,False,False,,CL0866,2.9356652670052405e-78,True,True,E1_UFD,E1_FCCH
PF09358,PF16191,20,21,20,76215,0.006,0.9524,3629.286,11.825,1.171163686440664e-78,False,False,,,2.9356652670052405e-78,True,True,E1_UFD,E1_4HB
PF17865,PF17867,20,20,21,76215,0.006,0.9524,3629.286,11.825,1.171163686440664e-78,False,True,CL0671,CL0671,2.9356652670052405e-78,True,False,AAA_lid_5,AAA_lid_7
PF08170,PF22770,19,20,20,76215,0.005,0.9048,3620.212,11.822,8.498750061574352e-74,False,False,,CL0740,1.8540500854789006e-73,True,True,POPLD,POP1_C
PF01902,PF28410,18,20,19,76215,0.005,0.8571,3610.184,11.818,3.0759633394853726e-69,False,False,CL0039,,5.955253831177563e-69,True,True,Diphthami_syn_2_N,Diphthami_syn_2_C
PF06148,PF12022,9,10,19,76215,0.002,0.45,3610.184,11.818,3.8647495454131066e-33,False,True,CL0020,CL0020,4.6181774362710684e-33,True,False,COG2_N,COG2_C
PF10447,PF14382,15,16,20,76215,0.004,0.7143,3572.578,11.803,1.9099772074862208e-56,False,False,CL0021,CL0105,2.8830563231646443e-56,True,True,EXOSC1,ECR1_N
PF12451,PF23356,13,20,14,76215,0.004,0.619,3538.554,11.789,2.3104876849449563e-48,False,False,,CL0020,3.177182883748105e-48,True,True,VPS11_C,TPR_PEP5_VPS11
PF17903,PF21800,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0007,CL0007,1.3601661362487265e-86,True,False,KH_KRR1_1st,KH_KRR1_2nd
PF27570,PF27571,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,TOF-1-like_helical,PF3D7_0210200_7th
PF27570,PF27587,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,TOF-1-like_helical,PF3D7_0210200_HH
PF27570,PF27588,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,TOF-1-like_helical,PF3D7_0210200_6th
PF27571,PF27587,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PF3D7_0210200_7th,PF3D7_0210200_HH
PF27571,PF27588,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PF3D7_0210200_7th,PF3D7_0210200_6th
PF27587,PF27588,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PF3D7_0210200_HH,PF3D7_0210200_6th
PF14630,PF21639,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0123,CL0671,1.3601661362487265e-86,True,False,ORC5_C,ORC5_lid
PF08235,PF16876,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0137,,1.3601661362487265e-86,True,False,LNS2,Lipin_mid
PF01266,PF16901,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0063,CL0667,1.3601661362487265e-86,True,False,DAO,DAO_C
PF08920,PF22646,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0462,CL0020,1.3601661362487265e-86,True,False,SF3b1,PPP2R1A-like_HEAT
PF04990,PF04992,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,RNA_pol_Rpb1_7,RNA_pol_Rpb1_6
PF08082,PF08083,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PRO8NT,PROCN
PF08082,PF08084,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PRO8NT,PROCT
PF08082,PF10596,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0363,1.3601661362487265e-86,True,False,PRO8NT,U6-snRNA_bdg
PF08082,PF10597,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PRO8NT,U5_2-snRNA_bdg
PF08082,PF10598,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PRO8NT,RRM_4
PF08082,PF12134,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0219,1.3601661362487265e-86,True,False,PRO8NT,PRP8_domainIV
PF08083,PF08084,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PROCN,PROCT
PF08083,PF10596,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0363,1.3601661362487265e-86,True,False,PROCN,U6-snRNA_bdg
PF08083,PF10597,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PROCN,U5_2-snRNA_bdg
PF08083,PF10598,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PROCN,RRM_4
PF08083,PF12134,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0219,1.3601661362487265e-86,True,False,PROCN,PRP8_domainIV
PF08084,PF10596,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0363,1.3601661362487265e-86,True,False,PROCT,U6-snRNA_bdg
PF08084,PF10597,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PROCT,U5_2-snRNA_bdg
PF08084,PF10598,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PROCT,RRM_4
PF08084,PF12134,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0219,1.3601661362487265e-86,True,False,PROCT,PRP8_domainIV
PF10596,PF10597,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0363,,1.3601661362487265e-86,True,False,U6-snRNA_bdg,U5_2-snRNA_bdg
PF10596,PF10598,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0363,,1.3601661362487265e-86,True,False,U6-snRNA_bdg,RRM_4
PF10596,PF12134,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0363,CL0219,1.3601661362487265e-86,True,False,U6-snRNA_bdg,PRP8_domainIV
PF10597,PF10598,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,U5_2-snRNA_bdg,RRM_4
PF10597,PF12134,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0219,1.3601661362487265e-86,True,False,U5_2-snRNA_bdg,PRP8_domainIV
PF10598,PF12134,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0219,1.3601661362487265e-86,True,False,RRM_4,PRP8_domainIV
PF01658,PF07994,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0139,CL0063,1.3601661362487265e-86,True,False,Inos-1-P_synth,NAD_binding_5
PF05021,PF11543,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0366,CL0072,1.3601661362487265e-86,True,False,NPL4,UN_NPL4
PF18808,PF18829,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0020,CL0020,1.3601661362487265e-86,True,False,Importin_rep_4,Importin_rep_6
PF18808,PF25780,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0020,CL0020,1.3601661362487265e-86,True,False,Importin_rep_4,TPR_IPO5
PF18829,PF25780,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0020,CL0020,1.3601661362487265e-86,True,False,Importin_rep_6,TPR_IPO5
PF03439,PF23042,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0439,CL0010,1.3601661362487265e-86,True,False,Spt5-NGN,KOW1_SPT5
PF06858,PF08155,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0023,,1.3601661362487265e-86,True,False,NOG1,NOGCT
PF08740,PF25426,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0671,1.3601661362487265e-86,True,False,BCS1_N,AAA_lid_BCS1
PF00456,PF22613,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0254,CL0591,1.3601661362487265e-86,True,False,Transketolase_N,Transketolase_C_1
PF12513,PF22527,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0745,CL0023,1.3601661362487265e-86,True,False,SUV3_C,DEXQc_Suv3
