domain_accession,n_carriers,n_species_present,n_species_absent,avoidance_score,expected_species_absent,excess_absence,poisson_binomial_p,n_clades_present,n_clades_absent,clade_avoidance_score,absent_clades,present_species,q_value,significant_q05,domain_name,description,clan_accession,clan_id
PF18562,165,2,18,0.9,0.018,17.982,7.546718237828298e-58,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,1.4722389495630038e-55,True,CIDR1_gamma,Cysteine-Rich Interdomain Region 1 gamma,,
PF17410,126,2,18,0.9,0.088,17.912,3.1634693558549643e-44,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,5.696678278504978e-42,True,Stevor,Subtelomeric Variable Open Reading frame,CL0656,VSA
PF02009,735,3,17,0.85,0.0,17.0,9.320318456812171e-243,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,7.272955169132431e-240,True,RIFIN,Rifin,CL0656,VSA
PF15445,249,3,17,0.85,0.001,16.999,7.798919055055893e-82,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,3.0428782513143074e-79,True,ATS,"acidic terminal segments, variant surface antigen of PfEMP1",,
PF22672,225,3,17,0.85,0.001,16.999,1.3979516763670516e-73,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,4.675149820536097e-71,True,DBL_C,"Duffy-binding-like domain, C-terminal subdomain",CL0195,DBL
PF12878,299,3,17,0.85,0.003,16.997,1.3344673581254792e-96,2,5,0.7143,Laverania (ape); Laverania (human); avian; primate (human); rodent,Plasmodium coatneyi; Plasmodium fragile; Plasmodium knowlesi,6.247976170743493e-94,True,SICA_beta,SICA extracellular beta domain,CL0474,SICA_like
PF15447,185,3,17,0.85,0.008,16.992,5.86550490325894e-60,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,1.373114697852918e-57,True,NTS,N-terminal segments of PfEMP1,,
PF21807,53,2,18,0.9,1.805,16.195,2.9840932921390125e-18,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,4.657174931264951e-16,True,PfEMP1_CIDRalpha1_dom,"PfEMP1 protein, CIDRalpha1 domain",,
PF12887,442,4,16,0.8,0.0,16.0,6.32308792985032e-132,2,5,0.7143,Laverania (ape); Laverania (human); avian; primate (human); rodent,Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium fragile; Plasmodium knowlesi,3.7005872109449e-129,True,SICA_alpha,SICA extracellular alpha domain,CL0474,SICA_like
PF09592,223,4,16,0.8,0.001,15.999,1.436097273133623e-68,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium vinckei petteri; Plasmodium yoelii,4.202379645507264e-66,True,DUF2031,Protein of unknown function (DUF2031),,
PF09690,100,4,16,0.8,0.274,15.726,8.784088673557754e-30,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium vinckei petteri; Plasmodium yoelii,1.4688251131999071e-27,True,PYST-C1,Plasmodium yoelii subtelomeric region (PYST-C1),,
PF03011,211,5,15,0.75,0.003,14.997,1.1823780760672135e-58,4,3,0.4286,avian; primate (human); rodent,Plasmodium falciparum; Plasmodium gaboni; Plasmodium gonderi; Plasmodium knowlesi; Plasmodium reichenowi,2.5163155237030427e-56,True,PFEMP,PFEMP1 DBL domain,CL0195,DBL
