domain_accession,n_species,species_fraction,category,domain_name,description,clan_accession,clan_id
PF00004,20,1.0,core,AAA,ATPase family associated with various cellular activities (AAA),CL0023,P-loop_NTPase
PF08148,20,1.0,core,DSHCT,DSHCT (NUC185) domain,,
PF08084,20,1.0,core,PROCT,PROCT (NUC072) domain,,
PF08083,20,1.0,core,PROCN,PROCN (NUC071) domain,,
PF08082,20,1.0,core,PRO8NT,"PRO8NT (NUC069), PrP8 N-terminal domain",,
PF08079,20,1.0,core,Ribosomal_L30_N,Ribosomal L30 N-terminal domain,,
PF08069,20,1.0,core,Ribosomal_S13_N,Ribosomal S13/S15 N-terminal domain,,
PF08068,20,1.0,core,DKCLD,DKCLD (NUC011) domain,CL0649,PseudoU_synth
PF08033,20,1.0,core,Sec23_BS,Sec23/Sec24 beta-sandwich domain,,
PF07994,20,1.0,core,NAD_binding_5,Myo-inositol-1-phosphate synthase,CL0063,NADP_Rossmann
PF07992,20,1.0,core,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,CL0063,NADP_Rossmann
PF07986,20,1.0,core,TBCC,Tubulin binding cofactor C,CL0391,CAP_C-like
PF07985,20,1.0,core,SRR1,SRR1 domain,CL0063,NADP_Rossmann
PF07977,20,1.0,core,FabA,FabA-like domain,CL0050,HotDog
PF07973,20,1.0,core,tRNA_SAD,Threonyl and Alanyl tRNA synthetase second additional domain,CL0094,Peptidase_ME
PF07946,20,1.0,core,CCDC47,PAT complex subunit CCDC47,,
PF07942,20,1.0,core,CARME,Carnosine N-methyltransferase,CL0063,NADP_Rossmann
PF07934,20,1.0,core,OGG_N,"8-oxoguanine DNA glycosylase, N-terminal domain",CL0407,TBP-like
PF07885,20,1.0,core,Ion_trans_2,Ion channel,CL0030,Ion_channel
PF07818,20,1.0,core,HCNGP,HCNGP-like protein,,
PF07808,20,1.0,core,RED_N,RED-like protein N-terminal region,,
PF07787,20,1.0,core,TMEM43,Transmembrane protein 43,,
PF07774,20,1.0,core,EMC1_C,"ER membrane protein complex subunit 1, second beta-propeller",CL0186,Beta_propeller
PF07766,20,1.0,core,LETM1_RBD,"LETM1-like, RBD",CL0306,HeH
PF07744,20,1.0,core,SPOC,SPOC domain,CL0616,SPOC
PF07741,20,1.0,core,BRF1,Brf1-like TBP-binding domain,,
PF07738,20,1.0,core,Sad1_UNC,Sad1 / UNC-like C-terminal ,CL0202,GBD
PF08142,20,1.0,core,AARP2CN,AARP2CN (NUC121) domain,CL0866,ALR_C-like
PF08149,20,1.0,core,BING4CT,BING4CT (NUC141) domain,CL0186,Beta_propeller
PF07724,20,1.0,core,AAA_2,AAA domain (Cdc48 subfamily),CL0023,P-loop_NTPase
PF08153,20,1.0,core,NGP1NT,NGP1NT (NUC091) domain,,
PF08375,20,1.0,core,Rpn3_C,Proteasome regulatory subunit C-terminal,,
PF08373,20,1.0,core,RAP,RAP domain,CL0236,PDDEXK
PF08367,20,1.0,core,M16C_assoc,Peptidase M16C associated,CL0094,Peptidase_ME
PF08328,20,1.0,core,ASL_C,Adenylosuccinate lyase C-terminal,,
PF08327,20,1.0,core,AHSA1,Activator of Hsp90 ATPase homolog 1-like protein,CL0209,Bet_v_1_like
PF08325,20,1.0,core,WLM,WLM domain,CL0126,Peptidase_MA
PF08324,20,1.0,core,PUL,PUL domain,CL0020,TPR
PF08321,20,1.0,core,PPP5,PPP5 TPR repeat region,CL0020,TPR
PF08315,20,1.0,core,cwf18,cwf18 pre-mRNA splicing factor ,,
PF08288,20,1.0,core,PIGA,PIGA (GPI anchor biosynthesis),CL0113,GT-B
PF08282,20,1.0,core,Hydrolase_3,haloacid dehalogenase-like hydrolase,CL0137,HAD
PF08271,20,1.0,core,Zn_Ribbon_TF,TFIIB zinc-binding,CL0167,Zn_Beta_Ribbon
PF08265,20,1.0,core,YL1_C,YL1 nuclear protein C-terminal domain,,
PF08264,20,1.0,core,Anticodon_1,Anticodon-binding domain of tRNA ligase,CL0258,DALR
PF08246,20,1.0,core,Inhibitor_I29,Cathepsin propeptide inhibitor domain (I29),,
PF08241,20,1.0,core,Methyltransf_11,Methyltransferase domain,CL0063,NADP_Rossmann
PF08238,20,1.0,core,Sel1,Sel1 repeat,CL0020,TPR
PF08234,20,1.0,core,Spindle_Spc25,Chromosome segregation protein Spc25,CL0724,Kinetochore
PF08216,20,1.0,core,CTNNBL,"Catenin-beta-like, Arm-motif containing nuclear",CL0020,TPR
PF08190,20,1.0,core,PIH1,PIH1 N-terminal domain,,
PF08159,20,1.0,core,NUC153,NUC153 domain,,
PF08158,20,1.0,core,SDA1_HEAT,"SDA1, HEAT repeat",CL0020,TPR
PF08156,20,1.0,core,NOP5NT,NOP5NT (NUC127) domain,CL0759,Nop_N_sf
PF08155,20,1.0,core,NOGCT,NOGCT (NUC087) domain,,
PF08154,20,1.0,core,NLE,NLE (NUC135) domain,CL0072,Ubiquitin
PF07728,20,1.0,core,AAA_5,AAA domain (dynein-related subfamily),CL0023,P-loop_NTPase
